,year,title,genre,avg_vote,movie_rating,duration,watchability
197,2006,Sea of Dreams,"Drama, Fantasy, Mystery",6.3,good,99,really long movie
198,2005,Charlie and the Chocolate Factory,"Adventure, Comedy, Family",6.6,good,115,really long movie
199,2005,Deuce Bigalow: European Gigolo,Comedy,4.7,okay,83,avg length movie
200,2005,Hallesche Kometen,Drama,6.7,good,83,avg length movie
201,2005,Romance & Cigarettes,"Comedy, Musical, Romance",6.3,good,105,really long movie
202,2005,Trouble,Thriller,5.8,okay,98,really long movie
203,2005,Echoes of Innocence,"Romance, Thriller",5.2,okay,118,really long movie
204,2005,Americano,"Comedy, Romance",6.1,good,95,really long movie
205,2005,Are We There Yet?,"Adventure, Comedy, Family",4.7,okay,95,really long movie
206,2005,Crab Orchard,"Drama, Family, Comedy",4.4,okay,90,no data
207,2005,Elizabethtown,"Comedy, Drama, Romance",6.4,good,123,really long movie
208,2005,The Lazarus Child,"Drama, Horror",5.0,okay,93,really long movie
209,2005,Separate Lies,"Crime, Drama, Romance",6.4,good,85,avg length movie
210,2005,Alone in the Dark,"Action, Horror, Sci-Fi",2.4,bad,96,really long movie
211,2005,Bal-Can-Can,"Action, Adventure, Comedy",7.7,good,89,avg length movie
212,2005,Fun with Dick and Jane,"Comedy, Crime",6.1,good,90,no data
213,2005,Monster-in-Law,"Comedy, Romance",5.5,okay,101,really long movie
214,2005,Strangers with Candy,Comedy,6.0,okay,97,really long movie
215,2006,Ultraviolet,"Action, Adventure, Crime",4.4,okay,88,avg length movie
216,2005,Shooting Livien,"Drama, Music, Romance",5.4,okay,90,no data
217,2005,Stay,"Drama, Mystery, Thriller",6.8,good,99,really long movie
218,2005,Tetsujin niju-hachigo,"Action, Adventure, Fantasy",5.2,okay,113,really long movie
219,2005,Window Theory,"Comedy, Drama, Romance",3.9,okay,87,avg length movie
220,2006,Astérix et les Vikings,"Animation, Adventure, Come",6.0,okay,78,avg length movie
221,2005,Beneath Still Waters,"Drama, Fantasy, Horror",3.8,okay,96,really long movie
222,2005,Chicken Little,"Animation, Adventure, Come",5.7,okay,81,avg length movie
223,2005,Forbidden Warrior,"Adventure, Action, Fantasy",3.5,okay,91,really long movie
224,2005,The Hitchhiker's Guide to the Galaxy,"Adventure, Comedy, Sci-Fi",6.7,good,109,really long movie
225,2005,The Zodiac,"Crime, Drama, Horror",5.4,okay,92,really long movie
226,2005,La monja,"Drama, Horror, Thriller",4.0,okay,101,really long movie
227,2005,Secuestro express,"Action, Crime, Drama",6.5,good,90,no data
228,2005,Adam & Steve,"Comedy, Drama, Music",5.9,okay,99,really long movie
229,2005,Guess Who,"Comedy, Romance",5.9,okay,105,really long movie
230,2005,Dinotopia: Quest for the Ruby Sunstone,"Animation, Adventure, Come",5.2,okay,75,avg length movie
231,2005,Iowa,"Crime, Drama",5.0,okay,104,really long movie
232,2005,Sex Sells: The Making of 'Touché',"Comedy, Romance",4.8,okay,96,really long movie
233,2005,The Wedding Date,"Comedy, Romance",6.2,good,90,no data
234,2005,Batman Begins,"Action, Adventure",8.2,good,140,really long movie
235,2005,The Extra,"Comedy, Romance",5.1,okay,96,really long movie
236,2006,Holla,Horror,3.5,okay,86,avg length movie
237,2005,Underclassman,"Action, Comedy, Crime",4.3,okay,95,really long movie
238,2005,The Wendell Baker Story,"Comedy, Drama, Romance",5.6,okay,99,really long movie
239,2005,Where the Truth Lies,"Crime, Drama, Mystery",6.5,good,107,really long movie
240,2005,Kiss Kiss Bang Bang,"Action, Comedy, Crime",7.5,good,103,really long movie
241,2005,Casa de Areia,Drama,7.4,good,115,really long movie
242,2005,"Cinema, Aspirinas e Urubus","Adventure, Drama",7.4,good,99,really long movie
243,2005,Der Clown,"Action, Crime, Thriller",4.4,okay,104,really long movie
244,2006,Rampage: The Hillside Strangler Murders,"Crime, Drama, Thriller",4.3,okay,85,avg length movie
245,2005,The Honeymooners,"Comedy, Drama, Family",3.3,okay,90,no data
246,2005,The Interpreter,"Crime, Mystery, Thriller",6.4,good,128,really long movie
247,2005,Khullam Khulla Pyaar Karen,Comedy,4.2,okay,155,really long movie
248,2006,Libertas,"Biography, Drama, History",5.8,okay,130,really long movie
249,2005,Köshpendiler,"Drama, History, War",5.9,okay,112,really long movie
250,2005,Replica,"Romance, Thriller",1.6,bad,66,avg length movie
251,2005,Searching for Bobby D,"Adventure, Comedy",4.8,okay,105,really long movie
252,2005,Turetskiy gambit,"War, Action, Adventure",7.0,good,208,really long movie
253,2005,Bewitched,"Comedy, Fantasy, Romance",4.8,okay,102,really long movie
254,2005,Lenny the Wonder Dog,"Adventure, Comedy, Family",3.3,okay,84,avg length movie
255,2005,On the One,"Comedy, Drama, Musical",5.4,okay,103,really long movie
256,2005,Remedy,"Crime, Drama",4.1,okay,82,avg length movie
257,2006,Tristan + Isolde,"Action, Drama, Romance",6.8,good,125,really long movie
258,2005,White Noise,"Drama, Horror, Mystery",5.5,okay,101,really long movie
259,2005,You and Your Stupid Mate,Comedy,3.9,okay,85,avg length movie
260,2005,Black,Drama,8.2,good,122,really long movie
261,2006,Gray Matters,"Comedy, Romance",5.8,okay,96,really long movie
262,2005,Racing Stripes,"Adventure, Comedy, Drama",5.2,okay,102,really long movie
263,2005,Rebound,"Comedy, Family, Sport",5.1,okay,86,avg length movie
264,2005,Anniyan,"Action, Drama, Thriller",8.2,good,181,really long movie
265,2005,The Shadow Dancer,"Comedy, Drama, Romance",6.7,good,100,really long movie
266,2005,Slow Burn,"Drama, Mystery, Thriller",5.8,okay,93,really long movie
267,2005,Vida y color,Drama,6.1,good,90,no data
268,2005,Colour Me Kubrick: A True...ish Story,"Comedy, Drama",6.1,good,86,avg length movie
269,2005,Frozen,Thriller,5.8,okay,90,no data
270,2005,Guy in Row Five,Comedy,6.0,okay,97,really long movie
271,2005,Pizza,Comedy,5.7,okay,80,avg length movie
272,2006,X-Men: The Last Stand,"Action, Sci-Fi",6.7,good,104,really long movie
273,2005,The Californians,Drama,4.8,okay,87,avg length movie
274,2006,I'll Believe You,"Comedy, Sci-Fi",5.6,okay,82,avg length movie
275,2005,Hollywood Flies,"Crime, Drama",4.5,okay,95,really long movie
276,2005,Proof,"Drama, Mystery",6.7,good,100,really long movie
277,2005,The Ring Two,"Horror, Mystery, Thriller",5.4,okay,110,really long movie
278,2005,Three,"Drama, Romance, Thriller",4.9,okay,95,really long movie
279,2006,A-List,"Comedy, Drama",5.9,okay,98,really long movie
280,2005,Be Cool,"Comedy, Crime, Drama",5.6,okay,118,really long movie
281,2005,Don't Come Knocking,"Drama, Music",6.6,good,122,really long movie
282,2005,The Dukes of Hazzard,Comedy,5.1,okay,104,really long movie
283,2005,Erosion,"Drama, Mystery, Romance",4.4,okay,100,really long movie
284,2005,Into the Blue,"Action, Adventure, Crime",5.8,okay,110,really long movie
285,2005,Left for Dead,"Action, Adventure, Crime",3.5,okay,105,really long movie
286,2005,Piggy Banks,"Crime, Drama",5.4,okay,87,avg length movie
287,2005,Schneeland,"Drama, Romance",6.8,good,142,really long movie
288,2005,Target of Opportunity,"Action, Drama",3.8,okay,88,avg length movie
289,2005,Dead Fish,"Action, Comedy, Thriller",5.4,okay,98,really long movie
290,2005,Ghosts Never Sleep,Drama,4.3,okay,85,avg length movie
291,2005,Bailey's Billion$,"Comedy, Family",3.9,okay,90,no data
292,2005,Capote,"Biography, Crime, Drama",7.3,good,114,really long movie
293,2005,Serenity,"Action, Adventure, Sci-Fi",7.8,good,119,really long movie
294,2006,The Woods,"Horror, Mystery, Thriller",5.7,okay,91,really long movie
295,2005,Back in the Day,"Action, Crime, Drama",4.4,okay,103,really long movie
296,2005,Goal!,"Drama, Romance, Sport",6.7,good,118,really long movie
297,2005,Oliver Twist,"Crime, Drama",6.8,good,130,really long movie
298,2005,The Perfect Man,"Comedy, Family, Romance",5.5,okay,100,really long movie
299,2005,Pogled sa Ajfelovog tornja,"Drama, Romance",4.7,okay,92,really long movie
300,2005,Winter Passing,"Comedy, Drama",6.3,good,98,really long movie
301,2005,Une aventure,"Drama, Romance",5.0,okay,100,really long movie
